Район,Округ,01.07.2007,01.01.2008,01.07.2008,01.01.2009,01.07.2009,01.01.2010,01.07.2010,01.01.2011,01.07.2011,01.01.2012,01.07.2012,01.01.2013,01.07.2013
район Арбат,Центральный административный округ,14122,16692,16702,16603,13762,15096,16638,16170,16124,15869,16106,15978,14597
Басманный район,Центральный административный округ,61782,60798,61771,61553,61348,61299,61031,60638,59752,59489,60690,59540,59061
район Замоскворечье,Центральный административный округ,29776,28806,29020,29145,28704,28920,28754,28074,28066,27834,28040,27814,27144
Красносельский район,Центральный административный округ,23995,24760,24875,24925,24130,25189,25154,25033,24923,23596,23626,23546,23076
Мещанский район,Центральный административный округ,34435,34315,34354,34444,34447,34321,34307,34177,34085,33990,33910,33912,33062
Пресненский район,Центральный административный округ,79098,79366,80127,80236,80127,79357,77437,76892,76996,77447,76895,78206,76888
Таганский район,Центральный административный округ,75055,74493,74768,74608,73640,74906,74323,73243,71438,73460,73455,73184,71597
Тверской район,Центральный административный округ,48306,48138,48436,48624,48747,48349,48033,47805,47294,47071,47083,46881,45812
район Хамовники,Центральный административный округ,54162,55295,56520,56889,56241,55950,56070,55265,56911,57156,56707,55860,54748
район Якиманка,Центральный административный округ,13329,13478,13506,13498,13507,13515,13419,13404,13829,13962,13890,13882,13603
район Аэропорт,Северный административный округ,43810,46003,45711,45198,43879,43150,42867,42308,42816,42709,42411,42307,41715
район Беговой,Северный административный округ,25461,25075,24966,24841,23452,23897,24226,24285,24180,24020,24095,24017,23585
Бескудниковский район,Северный административный округ,50497,50413,50373,50491,47294,49403,50293,50230,50217,50192,50385,50422,49514
Войковский район,Северный административный округ,43752,43619,43703,43591,41978,43383,43236,42993,42953,42822,42746,42749,42151
район Восточное Дегунино,Северный административный округ,60459,60699,60682,60446,59475,60589,60457,59976,60328,60207,60445,60457,59369
Головинский район,Северный административный округ,67288,67003,66726,66420,66309,66365,65873,65703,65316,64931,64826,64974,63804
Дмитровский район,Северный административный округ,55136,55475,54862,55193,53732,53648,53723,53607,53508,53430,54269,54238,53262
район Западное Дегунино,Северный административный округ,51973,52316,52295,52546,51929,52320,53048,53177,53215,53250,53325,53317,52571
район Коптево,Северный административный округ,60660,60544,60735,60780,58264,60553,60649,60849,60824,60940,61178,61268,60165
